dezembro;1981;0,5000%;0,5000%
janeiro;1982;0,5000%;0,5000%
fevereiro;1982;0,5000%;0,5000%
março;1982;0,5000%;0,5000%
abril;1982;0,5000%;0,5000%
maio;1982;0,5000%;0,5000%
junho;1982;0,5000%;0,5000%
julho;1982;0,5000%;0,5000%
agosto;1982;0,5000%;0,5000%
setembro;1982;0,5000%;0,5000%
outubro;1982;0,5000%;0,5000%
novembro;1982;0,5000%;0,5000%
dezembro;1982;0,5000%;0,5000%
janeiro;1983;0,5000%;0,5000%
fevereiro;1983;0,5000%;0,5000%
março;1983;0,5000%;0,5000%
abril;1983;0,5000%;0,5000%
maio;1983;0,5000%;0,5000%
junho;1983;0,5000%;0,5000%
julho;1983;0,5000%;0,5000%
agosto;1983;0,5000%;0,5000%
setembro;1983;0,5000%;0,5000%
outubro;1983;0,5000%;0,5000%
novembro;1983;0,5000%;0,5000%
dezembro;1983;0,5000%;0,5000%
janeiro;1984;0,5000%;0,5000%
fevereiro;1984;0,5000%;0,5000%
março;1984;0,5000%;0,5000%
abril;1984;0,5000%;0,5000%
maio;1984;0,5000%;0,5000%
junho;1984;0,5000%;0,5000%
julho;1984;0,5000%;0,5000%
agosto;1984;0,5000%;0,5000%
setembro;1984;0,5000%;0,5000%
outubro;1984;0,5000%;0,5000%
novembro;1984;0,5000%;0,5000%
dezembro;1984;0,5000%;0,5000%
janeiro;1985;0,5000%;0,5000%
fevereiro;1985;0,5000%;0,5000%
março;1985;0,5000%;0,5000%
abril;1985;0,5000%;0,5000%
maio;1985;0,5000%;0,5000%
junho;1985;0,5000%;0,5000%
julho;1985;0,5000%;0,5000%
agosto;1985;0,5000%;0,5000%
setembro;1985;0,5000%;0,5000%
outubro;1985;0,5000%;0,5000%
novembro;1985;0,5000%;0,5000%
dezembro;1985;0,5000%;0,5000%
janeiro;1986;0,5000%;0,5000%
fevereiro;1986;0,5000%;0,5000%
março;1986;0,5000%;0,5000%
abril;1986;0,5000%;0,5000%
maio;1986;0,5000%;0,5000%
junho;1986;0,5000%;0,5000%
julho;1986;0,5000%;0,5000%
agosto;1986;0,5000%;0,5000%
setembro;1986;0,5000%;0,5000%
outubro;1986;0,5000%;0,5000%
novembro;1986;0,5000%;0,5000%
dezembro;1986;0,5000%;0,5000%
janeiro;1987;0,5000%;0,5000%
fevereiro;1987;0,5000%;0,5000%
março;1987;0,5000%;0,5000%
abril;1987;0,5000%;0,5000%
maio;1987;0,5000%;0,5000%
junho;1987;0,5000%;0,5000%
julho;1987;0,5000%;0,5000%
agosto;1987;0,5000%;0,5000%
setembro;1987;0,5000%;0,5000%
outubro;1987;0,5000%;0,5000%
novembro;1987;0,5000%;0,5000%
dezembro;1987;0,5000%;0,5000%
janeiro;1988;0,5000%;0,5000%
fevereiro;1988;0,5000%;0,5000%
março;1988;0,5000%;0,5000%
abril;1988;0,5000%;0,5000%
maio;1988;0,5000%;0,5000%
junho;1988;0,5000%;0,5000%
julho;1988;0,5000%;0,5000%
agosto;1988;0,5000%;0,5000%
setembro;1988;0,5000%;0,5000%
outubro;1988;0,5000%;0,5000%
novembro;1988;0,5000%;0,5000%
dezembro;1988;0,5000%;0,5000%
janeiro;1989;0,5000%;0,5000%
fevereiro;1989;0,5000%;0,5000%
março;1989;0,5000%;0,5000%
abril;1989;0,5000%;0,5000%
maio;1989;0,5000%;0,5000%
junho;1989;0,5000%;0,5000%
julho;1989;0,5000%;0,5000%
agosto;1989;0,5000%;0,5000%
setembro;1989;0,5000%;0,5000%
outubro;1989;0,5000%;0,5000%
novembro;1989;0,5000%;0,5000%
dezembro;1989;0,5000%;0,5000%
janeiro;1990;0,5000%;0,5000%
fevereiro;1990;0,5000%;0,5000%
março;1990;0,5000%;0,5000%
abril;1990;0,5000%;0,5000%
maio;1990;0,5000%;0,5000%
junho;1990;0,5000%;0,5000%
julho;1990;0,5000%;0,5000%
agosto;1990;0,5000%;0,5000%
setembro;1990;0,5000%;0,5000%
outubro;1990;0,5000%;0,5000%
novembro;1990;0,5000%;0,5000%
dezembro;1990;0,5000%;0,5000%
janeiro;1991;0,5000%;0,5000%
fevereiro;1991;0,5000%;0,5000%
março;1991;0,5000%;0,5000%
abril;1991;0,5000%;0,5000%
maio;1991;0,5000%;0,5000%
junho;1991;0,5000%;0,5000%
julho;1991;0,5000%;0,5000%
agosto;1991;0,5000%;0,5000%
setembro;1991;0,5000%;0,5000%
outubro;1991;0,5000%;0,5000%
novembro;1991;0,5000%;0,5000%
dezembro;1991;0,5000%;0,5000%
janeiro;1992;0,5000%;0,5000%
fevereiro;1992;0,5000%;0,5000%
março;1992;0,5000%;0,5000%
abril;1992;0,5000%;0,5000%
maio;1992;0,5000%;0,5000%
junho;1992;0,5000%;0,5000%
julho;1992;0,5000%;0,5000%
agosto;1992;0,5000%;0,5000%
setembro;1992;0,5000%;0,5000%
outubro;1992;0,5000%;0,5000%
novembro;1992;0,5000%;0,5000%
dezembro;1992;0,5000%;0,5000%
janeiro;1993;0,5000%;0,5000%
fevereiro;1993;0,5000%;0,5000%
março;1993;0,5000%;0,5000%
abril;1993;0,5000%;0,5000%
maio;1993;0,5000%;0,5000%
junho;1993;0,5000%;0,5000%
julho;1993;0,5000%;0,5000%
agosto;1993;0,5000%;0,5000%
setembro;1993;0,5000%;0,5000%
outubro;1993;0,5000%;0,5000%
novembro;1993;0,5000%;0,5000%
dezembro;1993;0,5000%;0,5000%
janeiro;1994;0,5000%;0,5000%
fevereiro;1994;0,5000%;0,5000%
março;1994;0,5000%;0,5000%
abril;1994;0,5000%;0,5000%
maio;1994;0,5000%;0,5000%
junho;1994;0,5000%;0,5000%
julho;1994;0,5000%;0,5000%
agosto;1994;0,5000%;0,5000%
setembro;1994;0,5000%;0,5000%
outubro;1994;0,5000%;0,5000%
novembro;1994;0,5000%;0,5000%
dezembro;1994;0,5000%;0,5000%
janeiro;1995;0,5000%;0,5000%
fevereiro;1995;0,5000%;0,5000%
março;1995;0,5000%;0,5000%
abril;1995;0,5000%;0,5000%
maio;1995;0,5000%;0,5000%
junho;1995;0,5000%;0,5000%
julho;1995;0,5000%;0,5000%
agosto;1995;0,5000%;0,5000%
setembro;1995;0,5000%;0,5000%
outubro;1995;0,5000%;0,5000%
novembro;1995;0,5000%;0,5000%
dezembro;1995;0,5000%;0,5000%
janeiro;1996;0,5000%;0,5000%
fevereiro;1996;0,5000%;0,5000%
março;1996;0,5000%;0,5000%
abril;1996;0,5000%;0,5000%
maio;1996;0,5000%;0,5000%
junho;1996;0,5000%;0,5000%
julho;1996;0,5000%;0,5000%
agosto;1996;0,5000%;0,5000%
setembro;1996;0,5000%;0,5000%
outubro;1996;0,5000%;0,5000%
novembro;1996;0,5000%;0,5000%
dezembro;1996;0,5000%;0,5000%
janeiro;1997;0,5000%;0,5000%
fevereiro;1997;0,5000%;0,5000%
março;1997;0,5000%;0,5000%
abril;1997;0,5000%;0,5000%
maio;1997;0,5000%;0,5000%
junho;1997;0,5000%;0,5000%
julho;1997;0,5000%;0,5000%
agosto;1997;0,5000%;0,5000%
setembro;1997;0,5000%;0,5000%
outubro;1997;0,5000%;0,5000%
novembro;1997;0,5000%;0,5000%
dezembro;1997;0,5000%;0,5000%
janeiro;1998;0,5000%;0,5000%
fevereiro;1998;0,5000%;0,5000%
março;1998;0,5000%;0,5000%
abril;1998;0,5000%;0,5000%
maio;1998;0,5000%;0,5000%
junho;1998;0,5000%;0,5000%
julho;1998;0,5000%;0,5000%
agosto;1998;0,5000%;0,5000%
setembro;1998;0,5000%;0,5000%
outubro;1998;0,5000%;0,5000%
novembro;1998;0,5000%;0,5000%
dezembro;1998;0,5000%;0,5000%
janeiro;1999;0,5000%;0,5000%
fevereiro;1999;0,5000%;0,5000%
março;1999;0,5000%;0,5000%
abril;1999;0,5000%;0,5000%
maio;1999;0,5000%;0,5000%
junho;1999;0,5000%;0,5000%
julho;1999;0,5000%;0,5000%
agosto;1999;0,5000%;0,5000%
setembro;1999;0,5000%;0,5000%
outubro;1999;0,5000%;0,5000%
novembro;1999;0,5000%;0,5000%
dezembro;1999;0,5000%;0,5000%
janeiro;2000;0,5000%;0,5000%
fevereiro;2000;0,5000%;0,5000%
março;2000;0,5000%;0,5000%
abril;2000;0,5000%;0,5000%
maio;2000;0,5000%;0,5000%
junho;2000;0,5000%;0,5000%
julho;2000;0,5000%;0,5000%
agosto;2000;0,5000%;0,5000%
setembro;2000;0,5000%;0,5000%
outubro;2000;0,5000%;0,5000%
novembro;2000;0,5000%;0,5000%
dezembro;2000;0,5000%;0,5000%
janeiro;2001;0,5000%;0,5000%
fevereiro;2001;0,5000%;0,5000%
março;2001;0,5000%;0,5000%
abril;2001;0,5000%;0,5000%
maio;2001;0,5000%;0,5000%
junho;2001;0,5000%;0,5000%
julho;2001;0,5000%;0,5000%
agosto;2001;0,5000%;0,5000%
setembro;2001;0,5000%;0,5000%
outubro;2001;0,5000%;0,5000%
novembro;2001;0,5000%;0,5000%
dezembro;2001;0,5000%;0,5000%
janeiro;2002;0,5000%;0,5000%
fevereiro;2002;0,5000%;0,5000%
março;2002;0,5000%;0,5000%
abril;2002;0,5000%;0,5000%
maio;2002;0,5000%;0,5000%
junho;2002;0,5000%;0,5000%
julho;2002;0,5000%;0,5000%
agosto;2002;0,5000%;0,5000%
setembro;2002;0,5000%;0,5000%
outubro;2002;0,5000%;0,5000%
novembro;2002;0,5000%;0,5000%
dezembro;2002;0,5000%;0,5000%
